version,N,threads,width,repeats,count,best_ms,median_ms,speedup_vs_seq
seq,10000000,auto,32,3,664579,623.923,625.015,1.0
partition,10000000,auto,32,3,664579,66.665,77.106,9.36
stripe,10000000,auto,32,3,664579,86.924,86.973,7.18
atomic_counter,10000000,auto,32,3,664579,93.493,93.623,6.67
atomic_dynamic,10000000,auto,32,3,664579,55.141,55.645,11.32
openmp,10000000,auto,32,3,664579,55.363,55.451,11.27
omp_target,10000000,auto,32,3,664579,68.478,70.002,9.11
opencl,10000000,auto,32,3,664579,60.169,62.062,10.37
