version,N,threads,width,repeats,count,best_ms,median_ms,speedup_vs_seq
seq,100000000,auto,32,3,5761455,47799.054,47863.734,1.0
partition,100000000,auto,32,3,5761455,4744.806,4889.935,10.07
stripe,100000000,auto,32,3,5761455,6679.003,6733.375,7.16
atomic_counter,100000000,auto,32,3,5761455,6625.434,6783.606,7.21
atomic_dynamic,100000000,auto,32,3,5761455,3850.056,3924.364,12.42
opencl,100000000,auto,32,3,5761455,691.448,696.284,69.13
sieve_cpu,100000000,auto,64,3,5761455,11.399,11.661,
sieve_gpu,100000000,auto,64,3,5761455,2.535,2.593,
sieve_gpu_barrett,100000000,auto,64,3,5761455,2.507,2.527,
